text,is_burden,index,section,parts
" 4A. The issuer shall make an application to one or more recognized stock exchange for listing of such securities therein:
 Provided that where the application is made to more than one recognised stock exchanges, the issuer shall choose one of them as the designated stock exchange:
                 ",1,0,0,0
" 4B. The issuer shall obtain credit rating from at least one credit rating agency registered with the Board, which shall be disclosed in the offer document or placement memorandum, as applicable:
                 ",1,1,0,0
"  Provided that where credit ratings are obtained from more than one credit rating agency, all the ratings, including the unaccepted ratings, shall be disclosed in the offer document or placement memorandum, as applicable.
                 ",1,2,0,0
" 4C. The issuer shall enter into an arrangement with a depository registered with the Board for dematerialisation of the municipal debt securities that are proposed to be issued, in accordance with the Depositories Act, 1996, rules and regulations made thereunder.
                 ",1,3,0,0
" 4E. (1) The issuer shall make an application for listing to one or more recognised stock exchanges in the manner specified by the Board.
                 ",1,4,0,0
" (2)In case the issuer fails to obtain listing or trading permission from any of the recognized stock exchanges where the municipal debt securities were proposed to be listed, it shall refund the entire monies received within seven days of receipt of intimation from stock exchange or in case of multiple stock exchange(s) within seven days from the earliest intimation rejecting the application for listing of municipal debt securities, and if any such money is not repaid after the issuer becomes liable to repay it, the issuer shall be liable to repay that money with interest at the rate of fifteen percent per annum till such refund is made:
 Provided that where the issuer is a body corporate to which the Companies Act, 2013, applies every director of the company who is an officer in default shall also be jointly and severally liable to repay that money with interest.]
                 ",1,5,0,0
" 5.(1) An issuer making public issue of debt securities shall only issue revenue bonds.
                 ",1,6,0,0
" (4)The revenue bonds shall have a maximum tenure of thirty years or such period as specified by the Board from time to time.
                 ",1,7,0,0
" (5)The issuer shall appoint one or more merchant bankers registered with the Board at least one of whom shall be a lead merchant banker.
                 ",1,8,0,0
" (6)The issuer shall create a separate escrow account for servicing of revenue bonds with earmarked revenue.
                 ",1,9,0,0
"  Provided that where the issuer is a body corporate to which the Companies Act, 2013 applies, it shall not have negative net worth in any of immediately preceding three financial years;
                 ",1,10,0,0
"  Provided that where the issuer is a body corporate to which the Companies Act, 2013 applies or is a Special Purpose Vehicle, which is set up for the purpose of raising funds for an person for performing one or more functions entrusted under Article 243W of the Constitution of India, the requirements at clause (a) shall be complied by the person being financed;
(b)Any other conditions as may be specified by the Board from time to time.]
12[Disclosures in the draft offer document and offer document.
                 ",1,11,0,0
" 6.(1) The draft offer document and offer document shall contain true, fair and material disclosures, which are necessary for the subscribers of the municipal debt securities to take an informed investment decision.
                 ",1,12,0,0
" 6.(1) The offer document shall contain true, fair and material disclosures, which are necessary for the subscribers of the revenue bonds to take an informed investment decision.
                 ",1,13,0,0
" 6A. (1)The issuer shall appoint one or more merchant bankers, which are registered with the Board, as lead manager(s) to the issue.
                 ",1,14,0,0
" (2)Where the issue is managed by more than one lead manager, the rights, obligations and responsibilities, relating to disclosures, allotment, refund and underwriting obligations among other things, if any, of each lead manager shall be predetermined and be disclosed in the draft offer document and the offer document.
                 ",1,15,0,0
" (3)The issuer shall, in consultation with the lead manager(s), appoint other registered intermediaries after the lead manager(s) have independently assessed their capability to carry out their obligations.
                 ",1,16,0,0
" (6)If the lead manager is an associate of the issuer, it shall disclose itself as an associate of the issuer and its role shall be limited to marketing of the issue.]
                 ",1,17,0,0
" 7.(1) No issuer shall make a public issue of municipal debt securities unless a draft offer document has been filed with the Board and designated stock exchange through the lead manager:
 Provided that where an issuer has filed a shelf offer document, not more than four public issuances shall be made through a single shelf offer document.
                 ",1,18,0,0
" 7. (1) No issuer shall make a public issue of revenue bonds unless a draft offer document has been filed with the designated stock exchange through the lead merchant banker:
 Provided that where an issuer has filed a shelf prospectus, not more than four public issuances shall be made through a single shelf prospectus during a financial year.
                 ",1,19,0,0
" (2)The draft offer document filed with the designated stock exchange shall be made public by posting the same on the website of the designated stock exchange for seeking public comments for a period of seven working days from the date of filing the draft offer document with such exchange.
                 ",1,20,0,0
" (3)The draft offer document may also be displayed on the website of the issuer, merchant bankers and the stock exchanges where the revenue bonds are proposed to be listed.
                 ",1,21,0,0
" (4)The lead merchant banker shall ensure that the draft offer document specifies the names and contact details of the compliance officer of the lead merchant banker, the officer concerned and the project officer, wherever applicable, of the issuer including their postal and email address, telephone and fax numbers.
                 ",1,22,0,0
" (5)The lead merchant banker shall ensure that all comments received on the draft offer document are suitably addressed:
 Provided that where the issuer is a corporate municipal entity, the lead merchant banker shall ensure that all comments received on the draft offer document are suitably addressed prior to the filing of the final offer document with the Registrar of Companies.
                 ",1,23,0,0
" (6)The issuer shall, before filing of draft offer documents with Board, obtain a “Viability Certificate“ or Detailed Project Appraisal Report (DPR) from a scheduled commercial bank or public financial institution stating that the project is financially viable, based on the estimates/assumptions available at that time.
                 ",1,24,0,0
" (7)A copy of draft and final offer document shall also be forwarded to the Board for its records, simultaneously with filing of these documents with designated stock exchange.
                 ",1,25,0,0
" (8)The issuer filing a shelf prospectus shall file a copy of an information memorandum with the recognised stock exchanges and the Board and in case of a corporate municipal entity, file the same with the Registrar of Companies.
                 ",1,26,0,0
" (9)Where the issuer is a corporate municipal entity, the information memorandum shall contain the disclosures specified in Companies Act, 2013 and rules made thereunder and shall include disclosures regarding summary term sheet, material updations including revision in ratings, if any, along with the rating rationale and financial ratios specified in Schedule I.
                 ",1,27,0,0
" (10)The lead merchant banker shall, prior to opening of the public issue, furnish to the Board a due diligence certificate as per Schedule II of these regulations:
 Provided that where the issuer is a corporate municipal entity, the lead merchant banker shall, prior to filing of the final offer document with the Registrar of Companies, furnish to the Board a due diligence certificate as per Schedule II of these regulations.
                 ",1,28,0,0
" (11)The debenture trustee, wherever appointed under proviso to sub-regulation (7) of Regulation 5 shall, prior to the opening of the public issue, furnish to the Board a due diligence certificate as per Schedule III of these regulations.”
 Page - 13 - of 68
(2)The lead manager shall submit the following to the Board along with the draft offer document, -
(a)certificate confirming that a written agreement has been entered into between the issuer and the lead manger;
(b)a due diligence certificate as per Form A of Schedule II.
(3)The Board may specify changes or issue observations, if any, on the draft offer document within twenty one days from the later of the following dates:
a)the date of receipt of the draft offer document under sub-regulation (1); or
b)the date of receipt of satisfactory reply from the lead manager(s), where the Board has sought any clarification or additional information from them; or
c)the date of receipt of clarification or information from any regulator or agency, where the Board has sought any clarification or information from such regulator or agency; or
d)the date of receipt of a copy of in-principle approval letter issued by the stock exchange(s).
(4)The draft offer document filed with the designated stock exchange shall be made public by posting the same on the website of the designated stock exchange for seeking public comments for a period of fifteen days from the date of filing the draft offer document with such exchange and shall be available for download in PDF / HTML formats.
(5)The draft offer document shall also be displayed on the website of the issuer, lead manager(s) and the stock exchanges where the municipal debt securities are proposed to be listed.
(6)The lead manager shall ensure that the draft offer document specifies the names and contact details of the compliance officer of the lead manager, the officer concerned and the project officer, wherever applicable, of the issuer including their postal and email address, telephone and fax numbers.
(7)The lead manager shall after expiry of the period stipulated in sub-regulation (4) file with the Board the details of the comments received by them or the issuer from the public in respect of the draft offer document, during the period stipulated in sub-regulation (4), alongwith the consequential changes, if any, that are required to be made in the draft offer document.
Page - 14 - of 68
(8) If the Board specifies any changes or issues observations, the issuer and lead manager(s) shall carry out such changes in the draft offer document and shall submit to the Board the updated draft offer document complying with the observations issued by the Board and highlighting all changes made in the draft offer document and before filing the offer document with the stock exchange or Registrar of Companies, as the case may be.
(9)The lead manager(s) shall submit the following documents to the Board after issuance of observations by the Board or after expiry of the period stipulated in sub- regulation (3) of this regulation if the Board has not issued observations:
a)a statement certifying that all changes, suggestions and observations made by the Board have been incorporated in the offer document or the placement memorandum;
b)a due diligence certificate as per Form B and Form C of Schedule II.
(10)A copy of draft and final offer document along-with a soft copy shall also be forwarded to the Board, simultaneously with filing of these documents with the designated stock exchange.
(11)The issuer filing a shelf offer document shall also file a copy of an information memorandum, containing all material facts including changes in the financial position as have occurred between the previous offer or first offer or subsequent offer of municipal debt securities, with the recognised stock exchanges and the Board and in case the issuer is a body corporate to whom the Companies Act, 2013 applies such issuer shall also file the same with the Registrar of Companies.
                 ",1,29,0,0
" 8. (1) Except as otherwise provided in these regulations, public issue of municipal debt securities shall be kept open for at least three working days.
                 ",1,30,0,0
" (2)The issuer may extend the bidding period disclosed in the offer document, in case of force majeure, banking strike or similar circumstances, for a minimum period of three working days.]
                 ",1,31,0,0
" 9.(1)The issuer may make an advertisement in a national daily with wide circulation, on or before the issue opening date and such advertisement shall, amongst other things, contain the disclosures as per Schedule IV.
                 ",1,32,0,0
" (2) No issuer shall issue an advertisement which is misleading in material particular or which contain any information in a distorted manner or which is manipulative or deceptive.
                 ",1,33,0,0
" (3) The advertisement shall be truthful, fair and clear and shall not contain a statement, promise or forecast which is untrue or misleading.
                 ",1,34,0,0
" (4) Any advertisement issued by the issuer shall not contain any matters which are extraneous to the contents of the offer document.
                 ",1,35,0,0
" 8.(1) The draft and final offer document shall be displayed on the websites of stock exchanges and shall be available for download in PDF / HTML formats.
                 ",1,36,0,0
" (2) The draft offer document shall be filed with the designated stock exchange, for dissemination on its website prior to the opening of the issue:
 Provided that where the issuer is a Corporate Municipal Entity, the final offer document shall be filed with the designated stock exchange, simultaneously with filing thereof with the Registrar of Companies, for dissemination on its website prior to the opening of the issue.
                 ",1,37,0,0
" (3) Where any person makes a request for a physical copy of the offer document, the same shall be provided to him by the issuer or lead merchant banker.”
 Page - 16 - of 68
(6)Any promotional or educative advertisement issued by the issuer during the subscription period shall not make any reference to the issue of 17[municipal debt securities] or be used for solicitation.
18[term sheet] and application forms.
                 ",1,38,0,0
" 10.(1) The issuer and 19[lead manager] shall ensure that:
(a)every application form issued by the issuer is accompanied by a copy of the 20[term sheet];
(b)the 21[term sheet] shall not contain matters which are extraneous to the contents of the 22[offer document];
(c)adequate space shall be provided in the application form to enable the investors to fill in various details like name, address, etc:
23[Provided that where the issuer is a body corporate to which the Companies Act, 2013 applies, the term sheet may be read as abridged prospectus]
                 ",1,39,0,0
" (2) The issuer may provide the facility for subscription of application in electronic mode.
                 ",1,40,0,0
" 11.(1) The issuer may decide the amount of minimum subscription which it seeks to raise by issue of 24[municipal] debt securities and disclose the same in the offer document:
                 ",1,41,0,0
" “(5) The advertisement shall urge the investors to invest only on the basis of information contained in the offer document.”
                 ",1,42,0,0
