File Name ,Rule Based - name ,Rule Based - org ,Spacy NER - name ,Spacy NER - org ,Rule based - Issues point,Rule based - date ,Rule based - place
1404287891786.pdf,1,0.5,1,0.5,1,1,1
1404800252689.pdf,1,1,1,0.5,1,1,1
1404464407975.pdf,1,1,0.5,1,1,1,1
1427451086607.pdf,0,0.5,1,1,1,1,1
1404297629677.pdf,0,1,0.5,1,1,1,1
1404464457988.pdf,1,1,0.5,1,1,1,1
1404470735980.pdf,0.5,1,1,1,1,1,1
1404444629445.pdf,1,1,1,1,1,0,1
1407404374671.pdf,0.5,0.5,1,1,1,1,1
1404291134181.pdf,0,0,1,0,0,1,1
1404723207350.pdf,1,1,1,1,1,1,1
1405074996313.pdf,1,1,1,1,1,1,1
1404801027938.pdf,1,1,1,1,1,1,1
1405072562921.pdf,1,1,1,1,1,1,1
Total,10,11.5,12.5,12,13,13,14
Accuracy ,0.7142857143,0.8214285714,0.8928571429,0.8571428571,0.9285714286,0.9285714286,1
,,,,,,,
Scoring Scheme,,,,,,,
Complete extraction =1,,,,,,,
partial extraction = 0.5,,,,,,,
incorrect extraction = 0 ,,,,,,,
Note - If name of person or organization not mentioned in the order itself and empty string/list is extracted then that is scored as 1,,,,,,,
